"","clean_word","sample_id","word_id","word.x","surp","shannon","renyi","word.y","total_rt","gaze_rt","firstfix_rt","model","model_size","lang","taint","freq","log_freq","len","prev_surp","prev2_surp","prev_freq","prev2_freq","prev_len","prev2_len","prev_shannon","prev2_shannon","prev_renyi","prev2_renyi","prev_sample","prev2_sample"
"74","Janusta",1,76,"Janusta",4.71819818019867,4.00835990905762,7.1726713180542,"Janusta",255.234042553192,207.425531914894,178.617021276596,"-1",89301621,"fi","none",2,0.693,7,8.26662427186966,11.3170113563538,138,36,10,10,4.53289985656738,5.56234073638916,7.70657014846802,7.86968898773193,1,1
"75","siis",1,77,"siis",8.52755641937256,4.19135332107544,6.91901397705078,"siis",244.340425531915,173.106382978723,162.148936170213,"-1",89301621,"fi","none",6430,8.769,4,4.71819818019867,8.26662427186966,2,138,7,10,4.00835990905762,4.53289985656738,7.1726713180542,7.70657014846802,1,1
"76","palvottiin",1,78,"palvottiin",3.44487912207842,5.43246364593506,7.54697132110596,"palvottiin",358.744680851064,204.340425531915,176.510638297872,"-1",89301621,"fi","none",201,5.303,10,8.52755641937256,4.71819818019867,6430,2,4,7,4.19135332107544,4.00835990905762,6.91901397705078,7.1726713180542,1,1
"77","sadonkorjuun",1,79,"sadonkorjuun",11.1528287529945,6.21184730529785,8.0340576171875,"sadonkorjuun",497.957446808511,389.063829787234,254.63829787234,"-1",89301621,"fi","none",61,4.111,12,3.44487912207842,8.52755641937256,201,6430,10,4,5.43246364593506,4.19135332107544,7.54697132110596,6.91901397705078,1,1
"78","ja",1,80,"ja",3.39891934394836,3.1320595741272,6.43417501449585,"ja",32.3617021276596,28.6170212765957,21.8510638297872,"-1",89301621,"fi","none",1896017,14.455,2,11.1528287529945,3.44487912207842,61,201,12,10,6.21184730529785,5.43246364593506,8.0340576171875,7.54697132110596,1,1
"79","istutuksen",1,81,"istutuksen",10.49374127388,6.51201343536377,8.13389015197754,"istutuksen",582.404255319149,397.276595744681,256.085106382979,"-1",89301621,"fi","none",13,2.565,10,3.39891934394836,11.1528287529945,1896017,61,2,12,3.1320595741272,6.21184730529785,6.43417501449585,8.0340576171875,1,1
"80","alussa",1,82,"alussa,",7.15892791748047,2.95405006408691,6.58408308029175,"alussa,",274.234042553192,207.914893617021,203.510638297872,"-1",89301621,"fi","none",18224,9.81,6,10.49374127388,3.39891934394836,13,1896017,10,2,6.51201343536377,3.1320595741272,8.13389015197754,6.43417501449585,1,1
"81","sekä",1,83,"sekä",4.21055507659912,4.0176739692688,7.38916301727295,"sekä",136,119.021276595745,103.723404255319,"-1",89301621,"fi","none",161850,11.994,4,7.15892791748047,10.49374127388,18224,13,6,10,2.95405006408691,6.51201343536377,6.58408308029175,8.13389015197754,1,1
"82","avioliiton",1,84,"avioliiton,",12.8360710144043,7.27944564819336,8.56250095367432,"avioliiton,",494.659574468085,356.744680851064,232.191489361702,"-1",89301621,"fi","none",1136,7.035,10,4.21055507659912,7.15892791748047,161850,18224,4,6,4.0176739692688,2.95405006408691,7.38916301727295,6.58408308029175,1,1
"83","kuoleman",1,85,"kuoleman",3.02164196968079,6.49619817733765,8.05205059051514,"kuoleman",331.723404255319,260.234042553192,239.510638297872,"-1",89301621,"fi","none",4545,8.422,8,12.8360710144043,4.21055507659912,1136,161850,10,4,7.27944564819336,4.0176739692688,8.56250095367432,7.38916301727295,1,1
"84","ja",1,86,"ja",0.759434700012207,1.96181488037109,5.81635761260986,"ja",30.3404255319149,30.3404255319149,30.3404255319149,"-1",89301621,"fi","none",1896017,14.455,2,3.02164196968079,12.8360710144043,4545,1136,8,10,6.49619817733765,7.27944564819336,8.05205059051514,8.56250095367432,1,1
"85","muiden",1,87,"muiden",4.41194725036621,5.88572978973389,7.76178932189941,"muiden",251.191489361702,204.978723404255,192.085106382979,"-1",89301621,"fi","none",16280,9.698,6,0.759434700012207,3.02164196968079,1896017,4545,2,8,1.96181488037109,6.49619817733765,5.81635761260986,8.05205059051514,1,1
